
Nucleus Center of Image Mass Ch=1 Img=1
 ==================== 
Nucleus Center of Image Mass X,Nucleus Center of Image Mass Y,Nucleus Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,CellID,ID,
41347.1,47779.8,-26.2308,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,7,100000007,
41374.2,47785.9,-24.8217,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,8,100000008,
41426.5,47826.8,-49.4104,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,0,100000000,
41415.9,47835.3,-49.77,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,1,100000001,
41421,47814.8,-47.9142,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,2,100000002,
41410.7,47825.8,-46.1599,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,4,100000004,
