
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.252645,,Cell,1,TVC,1,
0.420583,,Cell,1,TVC,2,
0.627491,,Cell,1,TVC,3,
0.704486,,Cell,1,TVC,4,
0.64766,,Cell,1,ATM,5,
0.611542,,Cell,1,ATM,6,
