
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.887858,-0.45975,-0.0183621,um,Surface,Ellipsoid Axis C,1,ATMgroup,0,
-0.803084,-0.510212,-0.307799,um,Surface,Ellipsoid Axis C,1,TVCgroup,2,
