
Nucleus Center of Image Mass Ch=2 Img=1
 ==================== 
Nucleus Center of Image Mass X,Nucleus Center of Image Mass Y,Nucleus Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,CellID,ID,
34922.9,56129.6,14.1214,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,ATM,0,100000000,
34937.4,56159.1,21.7189,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,ATM,1,100000001,
35000.2,56179.1,43.4331,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,4,100000004,
35009.1,56186.7,44.6777,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,5,100000005,
34993.7,56177.4,55.3996,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,6,100000006,
35003.1,56185.3,57.2794,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,7,100000007,
