
Cell Ellipsoid Axis B
 ==================== 
Cell Ellipsoid Axis B X,Cell Ellipsoid Axis B Y,Cell Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.0271741,-0.171903,-0.984739,um,Cell,Cell Ellipsoid Axis B,1,ATM,0,
0.0139147,0.00106774,0.999903,um,Cell,Cell Ellipsoid Axis B,1,ATM,1,
0.165977,-0.140732,-0.976036,um,Cell,Cell Ellipsoid Axis B,1,TVC,2,
0.692234,0.524933,0.495235,um,Cell,Cell Ellipsoid Axis B,1,TVC,3,
-0.338959,-0.535742,-0.773361,um,Cell,Cell Ellipsoid Axis B,1,TVC,4,
0.648768,0.714816,0.261033,um,Cell,Cell Ellipsoid Axis B,1,TVC,5,
