
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
32079.5,57727.4,12.3349,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,0,
32113.3,57693.6,-0.565429,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,1,
