
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.8188,um,Cell,1,TVC,0,
7.77211,um,Cell,1,TVC,1,
6.12779,um,Cell,1,TVC,2,
7.64558,um,Cell,1,TVC,3,
7.26166,um,Cell,1,ATM,4,
7.83153,um,Cell,1,ATM,5,
