
Cell Ellipsoid Axis C
 ==================== 
Cell Ellipsoid Axis C X,Cell Ellipsoid Axis C Y,Cell Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.408593,-0.903726,0.127791,um,Cell,Cell Ellipsoid Axis C,1,ATM,6,
-0.307649,-0.927413,0.212738,um,Cell,Cell Ellipsoid Axis C,1,ATM,7,
0.622499,-0.102856,0.775832,um,Cell,Cell Ellipsoid Axis C,1,TVC,8,
0.998787,0.0049857,0.0489867,um,Cell,Cell Ellipsoid Axis C,1,TVC,9,
-0.979939,0.0476133,0.193528,um,Cell,Cell Ellipsoid Axis C,1,TVC,10,
0.70224,0.606825,0.372321,um,Cell,Cell Ellipsoid Axis C,1,TVC,11,
