
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
44408.1,56927.3,15.0981,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,0,
44350.4,56952.3,-5.03461,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,2,
