
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.279231,0.23742,-0.93041,um,Surface,Ellipsoid Axis A,1,ATMgroup,4,
0.42747,-0.194989,0.882751,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
