
Cell BoundingBoxOO Length
 ==================== 
Cell BoundingBoxOO Length A,Cell BoundingBoxOO Length B,Cell BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
17.3647,22.5683,44.6866,um,Cell,Cell BoundingBoxOO Length,1,ATM,4,
14.6193,25.8388,41.5962,um,Cell,Cell BoundingBoxOO Length,1,ATM,5,
17.9352,16.1931,25.452,um,Cell,Cell BoundingBoxOO Length,1,TVC,0,
14.4865,22.7708,22.4023,um,Cell,Cell BoundingBoxOO Length,1,TVC,1,
12.9988,16.6692,17.7122,um,Cell,Cell BoundingBoxOO Length,1,TVC,2,
14.0094,15.3948,18.1992,um,Cell,Cell BoundingBoxOO Length,1,TVC,3,
