
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
18.0549,21.9414,66.4609,um,Surface,BoundingBoxOO Length,1,ATMgroup,4,
12.8242,34.6953,34.8125,um,Surface,BoundingBoxOO Length,1,TVCgroup,0,
