
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
38308.3,49797,132.169,um,Surface,Center of Homogeneous Mass,1,ATM,5,
38283.1,49836.7,100.527,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
