
Cell Center of Image Mass Ch=1 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
40600.4,61403.7,150.861,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,4,
40593.4,61375.1,158.652,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,5,
40620.5,61297.7,126.433,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,0,
40608,61300,128.041,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,1,
40616.2,61307,131.75,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,2,
40602.2,61310.2,132.992,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,3,
