
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
46.4176,um,Surface,1,ATMgroup,0,
21.4047,um,Surface,1,TVCgroup,2,
