
Nucleus BoundingBoxOO Length
 ==================== 
Nucleus BoundingBoxOO Length A,Nucleus BoundingBoxOO Length B,Nucleus BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,CellID,ID,
5.21552,9.05063,9.88324,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,0,100000000,
7.4496,9.4695,11.0095,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,1,100000001,
5.31288,7.9208,10.4366,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,2,100000002,
8.01488,9.28694,12.9144,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,3,100000003,
8.18634,10.3783,13.5051,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,4,100000004,
6.23825,6.92559,9.99633,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,5,100000005,
