
Nucleus Relative To Cell Distance from Origin
 ==================== 
Nucleus Relative To Cell Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
1.80292,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,10,100000010,
5.06576,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,11,100000011,
1.83654,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,0,100000000,
1.97016,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,1,100000001,
1.35095,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,2,100000002,
0.962228,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,3,100000003,
