
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.545981,,Cell,1,ATM,0,
0.490402,,Cell,1,ATM,1,
0.516516,,Cell,1,ATM,2,
0.493695,,Cell,1,TVC,3,
0.2856,,Cell,1,TVC,4,
