
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.325478,,Cell,1,ATM,0,
0.3683,,Cell,1,ATM,1,
0.367279,,Cell,1,ATM,2,
0.29408,,Cell,1,TVC,3,
0.449874,,Cell,1,TVC,4,
