
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
33660,57905.8,24.1052,um,Cell,Cell Center of Homogeneous Mass,1,ATM,0,
33688.2,57940,30.5002,um,Cell,Cell Center of Homogeneous Mass,1,ATM,1,
33675.5,57922.4,28.3652,um,Cell,Cell Center of Homogeneous Mass,1,ATM,2,
33638.2,57872.7,40.0473,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
33645.8,57862,43.4086,um,Cell,Cell Center of Homogeneous Mass,1,TVC,4,
