
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.130038,-0.220141,-0.966762,um,Surface,Ellipsoid Axis A,1,ATMgroup,0,
0.381455,-0.274395,0.882723,um,Surface,Ellipsoid Axis A,1,TVCgroup,2,
