
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
37348.9,44210.4,134.138,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,0,
37338.6,44125.6,133.601,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,2,
