
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.598634,0.42577,-0.678496,um,Surface,Ellipsoid Axis B,1,ATMgroup,0,
0.634346,0.510714,-0.580324,um,Surface,Ellipsoid Axis B,1,TVCgroup,2,
