
Nucleus Sphericity
 ==================== 
Nucleus Sphericity,Unit,Category,Time,Default Labels,CellID,ID,
0.625487,,Nucleus,1,TVC,0,100000000,
0.629226,,Nucleus,1,TVC,1,100000001,
0.648762,,Nucleus,1,TVC,2,100000002,
0.632228,,Nucleus,1,TVC,3,100000003,
0.633379,,Nucleus,1,ATM,8,100000008,
0.642355,,Nucleus,1,ATM,9,100000009,
