
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
43993.5,38627.9,25.0754,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
43983.2,38578.6,14.2916,um,Surface,Center of Homogeneous Mass,1,TVCgroup,2,
