
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
48.7661,47.2225,167.432,um,Surface,Position,1,ATMgroup,3,
114.975,74.1983,135.19,um,Surface,Position,1,TVCgroup,0,
