
Nucleus Center of Image Mass Ch=1 Img=1
 ==================== 
Nucleus Center of Image Mass X,Nucleus Center of Image Mass Y,Nucleus Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,CellID,ID,
35990.4,92120.8,57.2904,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,0,100000000,
35991.2,92145.9,57.4523,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,1,100000001,
35986,92173.7,62.3748,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,2,100000002,
36054,92090.1,74.3403,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,3,100000003,
36046.1,92088.8,78.607,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,4,100000004,
