
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
31390.5,37352.6,122.374,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
31434.2,37268.4,123.812,um,Surface,Center of Homogeneous Mass,1,TVCgroup,2,
