
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
68.0384,um,Surface,1,ATMgroup,0,
18.2911,um,Surface,1,TVCgroup,2,
