
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
33317.4,55353.6,-74.2315,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,0,
33272.1,55301.3,-37.5869,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,2,
