
Cell Center of Image Mass Ch=2 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
40440.1,77503.4,165.532,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,2,
40398.3,77450.3,172.817,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,3,
40422,77475.4,171.623,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,4,
40356.4,77490.9,155.005,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,0,
