
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
41375.2,57173.4,1.7405,um,Surface,Center of Homogeneous Mass,1,ATM,0,
41287.9,57173.4,9.60364,um,Surface,Center of Homogeneous Mass,1,TVCgroup,1,
