
Cell Center of Image Mass Ch=2 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
35359.6,44256.9,127.662,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,3,
35336.1,44240.7,131.453,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,5,
35398.5,44296.9,142.092,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,7,
35401.2,44301.6,145.413,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,10,
35392,44305.5,145.392,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,12,
35396.8,44308.8,147.208,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,13,
