
Nucleus Distance from Center of Mass to Cell Membrane
 ==================== 
Nucleus Distance from Center of Mass to Cell Membrane,Unit,Category,Time,Default Labels,CellID,ID,
2.90593,um,Nucleus,1,TVC,2,100000002,
3.66253,um,Nucleus,1,TVC,4,100000004,
2.98654,um,Nucleus,1,TVC,5,100000005,
4.07112,um,Nucleus,1,TVC,6,100000006,
4.86213,um,Nucleus,1,ATM,10,100000010,
4.71351,um,Nucleus,1,ATM,11,100000011,
