
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.539419,,Cell,1,TVC,2,
0.304511,,Cell,1,TVC,4,
0.466034,,Cell,1,TVC,5,
0.427662,,Cell,1,TVC,6,
0.463262,,Cell,1,ATM,10,
0.341597,,Cell,1,ATM,11,
