
Nucleus Relative To Cell Distance from Origin
 ==================== 
Nucleus Relative To Cell Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
3.86392,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,5,100000000,
5.66978,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,6,100000001,
1.1953,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,7,100000002,
2.78994,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,8,100000003,
2.04221,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,9,100000004,
1.86834,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,10,100000005,
