
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.363776,,Cell,1,ATM,1,
0.313288,,Cell,1,ATM,3,
0.389215,,Cell,1,TVC,5,
0.300036,,Cell,1,TVC,7,
0.52302,,Cell,1,TVC,8,
0.436041,,Cell,1,TVC,11,
