
Nucleus Relative To Cell Position
 ==================== 
Nucleus Relative To Cell Position X,Nucleus Relative To Cell Position Y,Nucleus Relative To Cell Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
1.95313,-0.992188,-1.57195,um,Nucleus,Nucleus Relative To Cell Position,1,ATM,0,100000000,
0.0429688,-0.316406,-0.176361,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,1,100000001,
-4.14063,0.515625,-2.97883,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,2,100000002,
-0.167969,0.539063,-0.745827,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,3,100000003,
-0.21875,1.26953,-2.47919,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,4,100000004,
0.214844,0.804688,-2.91885,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,5,100000005,
