
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
5.92805,um,Cell,Image 1,1,TVC,0,
5.92805,um,Cell,Image 1,1,TVC,1,
5.92805,um,Cell,Image 1,1,TVC,2,
5.92805,um,Cell,Image 1,1,TVC,3,
8.51953,um,Cell,Image 1,1,ATM,4,
9.31551,um,Cell,Image 1,1,ATM,5,
