
Cell BoundingBoxOO Length
 ==================== 
Cell BoundingBoxOO Length A,Cell BoundingBoxOO Length B,Cell BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
21.4316,24.4375,38.6316,um,Cell,Cell BoundingBoxOO Length,1,ATM,0,
21.38,25.281,31.6619,um,Cell,Cell BoundingBoxOO Length,1,ATM,1,
21.9591,26.7252,46.1632,um,Cell,Cell BoundingBoxOO Length,1,ATM,2,
15.0164,19.664,28.0603,um,Cell,Cell BoundingBoxOO Length,1,TVC,3,
16.2108,22.1003,24.098,um,Cell,Cell BoundingBoxOO Length,1,TVC,4,
