Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.03206143,0.03208236,0.07142664,0.03206569,0.03208207,0.03207737,0.54412156,0.032004252,0.032037355,0.032069504,0.03206848,0.032066792,0.03178202,0.0320545
0.037028242,0.037050966,0.0789947,0.037033178,0.037051365,0.03704269,0.4769904,0.036960125,0.036999308,0.03703829,0.03703472,0.037031714,0.036722396,0.037021924
0.046792828,0.046816897,0.10932294,0.046798185,0.046819177,0.046803694,0.32950455,0.04671343,0.046767674,0.046806745,0.046798818,0.04679225,0.046472166,0.04679062
0.04651386,0.04653798,0.10761233,0.04651923,0.046540186,0.04652484,0.33456382,0.04643474,0.046488527,0.04652766,0.046519846,0.04651342,0.046192285,0.046511404
0.03387903,0.033900652,0.074009,0.03388356,0.033900592,0.033894453,0.5197443,0.033817306,0.03385248,0.033887826,0.033885848,0.033883683,0.03358901,0.03387227
0.04518127,0.045205545,0.10077142,0.0451867,0.045207463,0.045192823,0.35739794,0.045103405,0.045155026,0.045194563,0.045187283,0.045181517,0.04485719,0.045177847
0.036344934,0.03634163,0.48423728,0.036344733,0.036346156,0.03634057,0.07978659,0.036273506,0.03629881,0.03635262,0.036344387,0.036332127,0.03629882,0.03635785
0.050300203,0.050319463,0.17128931,0.050304234,0.05032291,0.050307833,0.22541761,0.050213277,0.050271105,0.05031504,0.050305862,0.050295435,0.050032772,0.050304893
0.035052624,0.03507467,0.07577297,0.035057306,0.035074778,0.03506769,0.5039065,0.0349883,0.035024907,0.035061877,0.035059303,0.035056837,0.034756303,0.03504599
0.045182616,0.045188528,0.3300136,0.045183904,0.04519286,0.045183487,0.12802823,0.045096338,0.045138728,0.045194212,0.04518544,0.045172207,0.045045346,0.04519457
0.03796168,0.037959684,0.4580253,0.037961673,0.037964202,0.03795809,0.08660899,0.037887257,0.03791534,0.037970018,0.037961688,0.037949137,0.037902255,0.03797467
0.037136007,0.037158765,0.07918189,0.037140954,0.037159182,0.037150413,0.47551066,0.037067696,0.037107028,0.0371461,0.037142467,0.03713944,0.03682968,0.037129704
0.05022691,0.050244488,0.18956356,0.05023055,0.050248113,0.050233703,0.20801403,0.050138697,0.05019547,0.050241552,0.05023234,0.050221212,0.049976397,0.050233018
0.021945631,0.0219356,0.7008933,0.021944752,0.021939646,0.021937072,0.035840508,0.021901725,0.02190702,0.02194853,0.021941133,0.021932837,0.021977037,0.021955302
0.01582206,0.015811553,0.78743285,0.015821297,0.015815098,0.015813198,0.02275839,0.01578948,0.015788835,0.015823467,0.01581662,0.015810404,0.015867233,0.015829451
0.03353497,0.033556458,0.073507965,0.033539448,0.033556353,0.033550486,0.5243712,0.03347405,0.033508826,0.033543628,0.03354182,0.033539757,0.033246882,0.033528164
