
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
37970,49373.6,67.5983,um,Surface,Center of Homogeneous Mass,1,ATMgroup,4,
38034.5,49397.3,34.3955,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
