
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
11.0397,um,Cell,1,ATM,0,
9.67859,um,Cell,1,ATM,1,
9.11479,um,Cell,1,ATM,2,
11.1357,um,Cell,1,ATM,3,
9.2939,um,Cell,1,TVC,4,
7.50158,um,Cell,1,TVC,5,
8.09512,um,Cell,1,TVC,6,
