
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
9.70371,um,Surface,1,ATMgroup,0,
8.10959,um,Surface,1,TVCgroup,2,
