
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
37459.5,19024.2,135.525,um,Surface,Center of Homogeneous Mass,1,ATMgroup,4,
37531.8,18964.9,118.762,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
