
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
37569.9,56797.8,58.7846,um,Surface,Center of Homogeneous Mass,1,ATMgroup,4,
37519,56855.6,72.4232,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
