
Cell Ellipsoid Axis C
 ==================== 
Cell Ellipsoid Axis C X,Cell Ellipsoid Axis C Y,Cell Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.81905,-0.569286,-0.0712085,um,Cell,Cell Ellipsoid Axis C,1,ATM,4,
0.67305,-0.72338,-0.154029,um,Cell,Cell Ellipsoid Axis C,1,ATM,5,
0.920823,0.312244,-0.233641,um,Cell,Cell Ellipsoid Axis C,1,TVC,0,
-0.776401,-0.616949,-0.128744,um,Cell,Cell Ellipsoid Axis C,1,TVC,1,
-0.772477,-0.599476,0.209544,um,Cell,Cell Ellipsoid Axis C,1,TVC,2,
0.679254,0.730921,0.0661008,um,Cell,Cell Ellipsoid Axis C,1,TVC,3,
