
Nucleus Ellipsoid Axis B
 ==================== 
Nucleus Ellipsoid Axis B X,Nucleus Ellipsoid Axis B Y,Nucleus Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
0.520435,-0.758158,0.392866,um,Nucleus,Nucleus Ellipsoid Axis B,1,ATM,4,100000004,
0.520588,-0.847901,0.100259,um,Nucleus,Nucleus Ellipsoid Axis B,1,ATM,5,100000005,
-0.292389,-0.942575,-0.161434,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,0,100000000,
0.993697,0.0942987,0.0606167,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,1,100000001,
0.955936,-0.153861,-0.250025,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,2,100000002,
0.865995,0.201355,-0.457722,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,3,100000003,
