
Nucleus Relative To Cell Position
 ==================== 
Nucleus Relative To Cell Position X,Nucleus Relative To Cell Position Y,Nucleus Relative To Cell Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
1.73047,-0.679688,-1.08794,um,Nucleus,Nucleus Relative To Cell Position,1,ATM,1,100000001,
0.707031,0.382812,-1.82107,um,Nucleus,Nucleus Relative To Cell Position,1,ATM,2,100000002,
0.382812,-0.953125,-0.67334,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,6,100000006,
0.289062,-0.585938,-0.898842,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,7,100000007,
-0.421875,-1.19531,-0.995209,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,10,100000010,
0.980469,-0.335938,-0.658241,um,Nucleus,Nucleus Relative To Cell Position,1,TVC,11,100000011,
