
Cell Ellipsoid Axis C
 ==================== 
Cell Ellipsoid Axis C X,Cell Ellipsoid Axis C Y,Cell Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.115597,-0.745474,-0.656434,um,Cell,Cell Ellipsoid Axis C,1,ATM,4,
0.703947,-0.634808,-0.318556,um,Cell,Cell Ellipsoid Axis C,1,ATM,5,
-0.789428,-0.523083,0.321228,um,Cell,Cell Ellipsoid Axis C,1,TVC,0,
0.925506,0.378697,-0.00527134,um,Cell,Cell Ellipsoid Axis C,1,TVC,1,
0.98826,-0.121133,-0.0931049,um,Cell,Cell Ellipsoid Axis C,1,TVC,2,
-0.905349,0.0998947,-0.412753,um,Cell,Cell Ellipsoid Axis C,1,TVC,3,
