
Nucleus Distance from Center of Mass to Cell Membrane
 ==================== 
Nucleus Distance from Center of Mass to Cell Membrane,Unit,Category,Time,Default Labels,CellID,ID,
4.63891,um,Nucleus,1,TVC,1,100000000,
4.41739,um,Nucleus,1,TVC,2,100000001,
4.15709,um,Nucleus,1,ATM,3,100000002,
5.28454,um,Nucleus,1,ATM,4,100000003,
