
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
6.8913,um,Cell,1,TVC,0,
9.34996,um,Cell,1,TVC,1,
7.47249,um,Cell,1,TVC,2,
8.64157,um,Cell,1,TVC,3,
12.8168,um,Cell,1,ATM,4,
12.2793,um,Cell,1,ATM,5,
