
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
17.7759,um,Surface,1,TVCgroup,0,
51.3965,um,Surface,1,ATMgroup,4,
