
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
16.0527,26.5713,103.555,um,Surface,BoundingBoxOO Length,1,ATMgroup,0,
17.5781,29.3867,35.3594,um,Surface,BoundingBoxOO Length,1,TVCgroup,2,
