
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
32485.6,46790.4,46.0918,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,0,
32439.9,46729.1,1.00819,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,2,
