
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
7.1274,um,Surface,1,ATMgroup,0,
6.73349,um,Surface,1,TVCgroup,2,
