
Nucleus Position
 ==================== 
Nucleus Position X,Nucleus Position Y,Nucleus Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
35753.3,63704.5,202.152,um,Nucleus,Nucleus Position,1,ATM,10,100000008,
35772.1,63678.1,215.658,um,Nucleus,Nucleus Position,1,ATM,12,100000011,
35804.7,63672,175.683,um,Nucleus,Nucleus Position,1,TVC,2,100000000,
35810.2,63681.8,178.307,um,Nucleus,Nucleus Position,1,TVC,4,100000002,
35800.2,63675.6,178.377,um,Nucleus,Nucleus Position,1,TVC,5,100000003,
35805.3,63683.9,180.756,um,Nucleus,Nucleus Position,1,TVC,6,100000004,
