
Nucleus Area
 ==================== 
Nucleus Area,Unit,Category,Time,Default Labels,CellID,ID,
460.039,um^2,Nucleus,1,ATM,1,100000000,
475.201,um^2,Nucleus,1,ATM,2,100000001,
228.215,um^2,Nucleus,1,TVC,3,100000002,
209.882,um^2,Nucleus,1,TVC,4,100000003,
172.989,um^2,Nucleus,1,TVC,5,100000004,
145.114,um^2,Nucleus,1,TVC,6,100000005,
