
Shortest Distance to Surfaces Surfaces=Cells 1 Cell Export 3
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,Default Labels,ID,
3.02483,um,Surface,Cells 1 Cell Export 3,1,ATMgroup,0,
20.4602,um,Surface,Cells 1 Cell Export 3,1,TVCgroup,2,
