
Shortest Distance to Surfaces Surfaces=Cells 2 Cell Export 3
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,Default Labels,ID,
0,,Surface,Cells 2 Cell Export 3,1,ATMgroup,0,
31.5918,,Surface,Cells 2 Cell Export 3,1,TVCgroup,2,
