
Shortest Distance to Surfaces Surfaces=Cells 2 Cell Export 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,Default Labels,ID,
31.5918,,Surface,Cells 2 Cell Export 2,1,ATMgroup,0,
0,,Surface,Cells 2 Cell Export 2,1,TVCgroup,2,
