
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
33710.1,66494.2,-3.69614,um,Cell,Cell Center of Homogeneous Mass,1,ATM,0,
33665.9,66481.8,4.84047,um,Cell,Cell Center of Homogeneous Mass,1,ATM,1,
33637,66550.2,-0.407256,um,Cell,Cell Center of Homogeneous Mass,1,TVC,2,
33646.4,66537.1,3.63239,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
33646.4,66551.7,10.3389,um,Cell,Cell Center of Homogeneous Mass,1,TVC,4,
33651.8,66540.8,13.7416,um,Cell,Cell Center of Homogeneous Mass,1,TVC,5,
