
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.618244,0.782817,0.0705063,um,Surface,Ellipsoid Axis A,1,ATM,3,
-0.965845,-0.168144,0.19716,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
