
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
40578.7,29070.1,-16.8687,um,Surface,Center of Homogeneous Mass,1,ATMgroup,4,
40643.7,28987.8,-5.35169,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
